"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"252225440473808896","","","","","2012-09-30 01:56:45 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","?I ye want to come to Ireland, it?s a small island, but we?ll care for you well? - the closing of the best father of the groom speech ever."
"251838239101562880","","","","","2012-09-29 00:18:09 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","What is the appropriate response when your friend tells you his dog is named Blanche from the Golden Girls?"
"251833131290726400","","","","","2012-09-28 23:57:51 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","?Bar carp? the guy that sneaks in and grabs any errant food and drink at the bar."
"251820840168079360","","","","","2012-09-28 23:09:01 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","Sitting on a pier overlooking the bay with buckets of beers surrounded by my best mates. Perfect."
"251547067443458048","","","","","2012-09-28 05:01:09 +0000","<a href=""http://instagr.am"" rel=""nofollow"">Instagram</a>","Listening to the greatest stories of Ireland ever told http://t.co/bq1xyOl1","http://instagr.am/p/QG0HBrkkrG/"
"251149736118202368","251148860674670592","7141792","","","2012-09-27 02:42:17 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@luckiestmonkey its a really really fast speaker that only plays really low bass notes."
"251084570416533505","","8412","","","2012-09-26 22:23:21 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@alexknowshtml I really enjoyed reading this: http://t.co/6wwIKoCD Well put.","http://alexhillman.com/the-power-of-something-bigger-than-one-person"
"251077266296143873","","","","","2012-09-26 21:54:19 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","Totally judging some products on their sales process this week."
"251065396604596226","","","251061031676289024","776098190","2012-09-26 21:07:09 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","RT @SvbtleFeed: Something Bigger Than You

http://t.co/KbI1lHgM by @alexknowshtml","http://alexhillman.com/the-power-of-something-bigger-than-one-person"
"250976628111462400","250834869045850112","14602130","","","2012-09-26 15:14:25 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@cra yea, that?s when Ilya started the project. I?d love to backfill it at some point."
"250612020544688128","","","","","2012-09-25 15:05:36 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","So excited to have @mattyoho joining GitHub https://t.co/5wxOmUO6","https://github.com/blog/1275-matt-yoho-is-a-githubber"
"250328915200069632","250304877111148544","1315011","","","2012-09-24 20:20:38 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@objo Killer. Keep on crushing."
"250324492616876032","","","","","2012-09-24 20:03:04 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","Nice to see even more OSS coming out of Adobe?s announcements today https://t.co/eIeb8G9P Going to try out Source Sans Pro today.","https://github.com/adobe"
"250319563110092800","","","","","2012-09-24 19:43:29 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","Love these parody SF neighborhood posters http://t.co/pL0CiHWs small world, I worked with Irena 12 years ago","http://www.irinablok.com/index.php?/experimental/san-francisco-neighborhoods/"
"250292683938070528","","","","","2012-09-24 17:56:40 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","Shipping desktop apps can be fast and easy too: How we ship GitHub for Windows https://t.co/OlUCKBhk - love these graphs","https://github.com/blog/1271-how-we-ship-github-for-windows"
"250273514064588800","250272854061481984","6484432","","","2012-09-24 16:40:30 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@destraynor exactly. Here?s a post on the process we went through to create ours: https://t.co/YDePQrGa","https://github.com/blog/1135-the-making-of-octicons"
"249216938402779137","249202559309459456","274788446","","","2012-09-21 18:42:02 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@intercom that?s one of the best useful books I?ve ever read. Great story!"
"249214086372544513","","","","","2012-09-21 18:30:43 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","A million thanks to @DanielleMorrill for a great chat about all things growth. I?m inspired and challenged and have a lot to ship!"
"248899027486257152","248898386705670144","638323","","","2012-09-20 21:38:47 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@kneath This is why I want a reverse-kickstarter. I will join you in putting up real $$$ for someone else to build a better Sparrow."
"248893618566340610","","","248893464836730880","118203","2012-09-20 21:17:17 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","RT @eoghanmccabe: I can picture Google Maps engineers playing Skrillex on their Droids, getting f'ed-up on Red Bull?"
"248859032708845569","","","","","2012-09-20 18:59:51 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","Download the old, functional version of Skitch here: http://t.co/6I3A2DfU /cc @coda","http://www.macupdate.com/download/39932/skitch.zip"
"248846896087572480","","","","","2012-09-20 18:11:38 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","Just noticed that @YouTube is migrating accounts to your G+ account and preferring real names. Any chance comments will improve?"
"248845147180249088","248837398149083136","24926510","","","2012-09-20 18:04:41 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@janaboruta I?d add GoPro to that list. Would love to visit them, they?re in Half Moon Bay."
